Linda	F	80431	1950
Mary	F	65481	1950
Patricia	F	47945	1950
Barbara	F	41552	1950
Susan	F	38017	1950
Nancy	F	29616	1950
Deborah	F	29063	1950
Sandra	F	28896	1950
Carol	F	26164	1950
Kathleen	F	25704	1950
James	M	86224	1950
Robert	M	83559	1950
John	M	79424	1950
Michael	M	65144	1950
David	M	60727	1950
William	M	60689	1950
Richard	M	51000	1950
Thomas	M	45599	1950
Charles	M	39102	1950
Gary	M	33749	1950
Linda	F	73978	1951
Mary	F	65721	1951
Patricia	F	56442	1951
Deborah	F	42052	1951
Barbara	F	40620	1951
Susan	F	40228	1951
Nancy	F	30347	1951
Karen	F	27998	1951
Sandra	F	27667	1951
Kathleen	F	26715	1951
James	M	87261	1951
Robert	M	86351	1951
John	M	81574	1951
Michael	M	72797	1951
David	M	64792	1951
William	M	62782	1951
Richard	M	54549	1951
Thomas	M	48284	1951
Charles	M	39397	1951
Gary	M	38163	1951
Linda	F	67082	1952
Mary	F	65634	1952
Patricia	F	53098	1952
Deborah	F	49814	1952
Susan	F	41350	1952
Barbara	F	39865	1952
Nancy	F	31740	1952
Karen	F	28959	1952
Debra	F	26832	1952
Sandra	F	26101	1952
James	M	87063	1952
Robert	M	86604	1952
John	M	83138	1952
Michael	M	79049	1952
David	M	71750	1952
William	M	63047	1952
Richard	M	58350	1952
Thomas	M	48652	1952
Charles	M	38869	1952
Gary	M	38756	1952
Mary	F	64379	1953
Linda	F	61280	1953
Deborah	F	52201	1953
Patricia	F	51018	1953
Susan	F	44297	1953
Barbara	F	38472	1953
Debra	F	36860	1953
Nancy	F	30618	1953
Karen	F	29853	1953
Pamela	F	25759	1953
Robert	M	86256	1953
James	M	86099	1953
Michael	M	84226	1953
John	M	80190	1953
David	M	76152	1953
William	M	61840	1953
Richard	M	58403	1953
Thomas	M	47005	1953
Charles	M	38434	1953
Gary	M	36972	1953
Mary	F	68007	1954
Linda	F	55381	1954
Deborah	F	54677	1954
Patricia	F	49146	1954
Susan	F	47151	1954
Debra	F	45890	1954
Barbara	F	36370	1954
Karen	F	32454	1954
Nancy	F	30264	1954
Cynthia	F	27616	1954
Michael	M	88528	1954
Robert	M	86298	1954
James	M	86272	1954
John	M	81165	1954
David	M	79529	1954
William	M	61417	1954
Richard	M	57014	1954
Thomas	M	47158	1954
Gary	M	37919	1954
Charles	M	37451	1954
Mary	F	63165	1955
Deborah	F	52315	1955
Linda	F	51288	1955
Debra	F	50556	1955
Susan	F	47402	1955
Patricia	F	46217	1955
Barbara	F	33605	1955
Karen	F	33218	1955
Nancy	F	30017	1955
Donna	F	27943	1955
Michael	M	88327	1955
David	M	86253	1955
James	M	84155	1955
Robert	M	83703	1955
John	M	80054	1955
William	M	59958	1955
Richard	M	53545	1955
Thomas	M	45824	1955
Mark	M	42222	1955
Steven	M	37821	1955
Mary	F	61756	1956
Debra	F	48302	1956
Linda	F	48075	1956
Deborah	F	47837	1956
Susan	F	46571	1956
Patricia	F	43342	1956
Karen	F	40047	1956
Cynthia	F	32344	1956
Barbara	F	32298	1956
Donna	F	29856	1956
Michael	M	90656	1956
James	M	84863	1956
Robert	M	83917	1956
David	M	81624	1956
John	M	80790	1956
William	M	58957	1956
Richard	M	52906	1956
Mark	M	48832	1956
Thomas	M	44818	1956
Steven	M	38397	1956
Mary	F	61094	1957
Susan	F	45948	1957
Linda	F	44500	1957
Debra	F	42737	1957
Karen	F	40586	1957
Deborah	F	40071	1957
Cynthia	F	39326	1957
Patricia	F	39270	1957
Barbara	F	29687	1957
Donna	F	28039	1957
Michael	M	92704	1957
James	M	84275	1957
David	M	82349	1957
Robert	M	81717	1957
John	M	78984	1957
William	M	56829	1957
Mark	M	52794	1957
Richard	M	52401	1957
Thomas	M	44572	1957
Steven	M	36819	1957
Mary	F	55857	1958
Susan	F	45173	1958
Linda	F	41899	1958
Karen	F	38463	1958
Patricia	F	37940	1958
Debra	F	35517	1958
Deborah	F	32937	1958
Cynthia	F	31003	1958
Barbara	F	27875	1958
Donna	F	26949	1958
Michael	M	90517	1958
David	M	82578	1958
James	M	78713	1958
Robert	M	77272	1958
John	M	75991	1958
William	M	54195	1958
Mark	M	52665	1958
Richard	M	49942	1958
Thomas	M	42064	1958
Steven	M	32946	1958
Mary	F	54474	1959
Susan	F	41599	1959
Linda	F	40403	1959
Karen	F	36776	1959
Donna	F	36465	1959
Patricia	F	35220	1959
Debra	F	31373	1959
Cynthia	F	30167	1959
Deborah	F	29552	1959
Lisa	F	25691	1959
Michael	M	85251	1959
David	M	83931	1959
James	M	78606	1959
John	M	76407	1959
Robert	M	74502	1959
Mark	M	56909	1959
William	M	51366	1959
Richard	M	47169	1959
Thomas	M	40276	1959
Steven	M	33572	1959
